"","pixel","bs_sic_x10","lon","lat","sicDate","x","y"
"1171",1,1000,-173.05576386,62.26233287,"20220303",-2411473.49214075,1887832.07778017
"261",2,1000,-173.33655426,62.42821497,"20220303",-2387276.81855827,1887831.88592911
"361",3,1000,-172.67357453,62.40051872,"20220303",-2411473.28765688,1862022.41413149
"461",4,1000,-172.9293529,62.57602444,"20220303",-2387276.60372308,1860409.10948969
"561",5,1000,-172.3087748,62.53892242,"20220303",-2410666.53116729,1837019.28420536
"661",6,1000,-172.59435311,62.72215112,"20220303",-2384856.75697129,1836212.53598877
"761",7,1000,-172.8825669,62.86960264,"20220303",-2362273.2266533,1837825.46139676
"861",8,1000,-173.28950402,62.74155685,"20220303",-2360660.30422343,1863635.10199659
"961",9,1000,-173.64949576,62.61006956,"20220303",-2360660.49126403,1887831.6767689
"1061",10,1000,-174.05315813,62.45989067,"20220303",-2360660.70709449,1915254.47383621
"1172",11,1000,-173.73223588,62.30883546,"20220303",-2384857.35645813,1912834.99988579
"1262",12,1000,-173.39871039,62.13615455,"20220303",-2411473.67853153,1911222.11307978
"1361",13,1000,-173.10043038,61.95538139,"20220303",-2437718.94307876,1911445.37777676
"1461",14,1000,-172.74200852,62.09614904,"20220303",-2436850.54348647,1886267.69227442
"1561",15,1000,-172.37301955,62.21931067,"20220303",-2437718.54562213,1861958.28583285
"1661",16,1000,-172.01043703,62.34746359,"20220303",-2437718.35458089,1837648.8452323
"1173",1,1000,-173.05576386,62.26233287,"20220304",-2411473.49214075,1887832.07778017
"262",2,1000,-173.33655426,62.42821497,"20220304",-2387276.81855827,1887831.88592911
"362",3,1000,-172.67357453,62.40051872,"20220304",-2411473.28765688,1862022.41413149
"462",4,1000,-172.9293529,62.57602444,"20220304",-2387276.60372308,1860409.10948969
"562",5,1000,-172.3087748,62.53892242,"20220304",-2410666.53116729,1837019.28420536
"662",6,1000,-172.59435311,62.72215112,"20220304",-2384856.75697129,1836212.53598877
"762",7,1000,-172.8825669,62.86960264,"20220304",-2362273.2266533,1837825.46139676
"862",8,1000,-173.28950402,62.74155685,"20220304",-2360660.30422343,1863635.10199659
"962",9,1000,-173.64949576,62.61006956,"20220304",-2360660.49126403,1887831.6767689
"1062",10,1000,-174.05315813,62.45989067,"20220304",-2360660.70709449,1915254.47383621
"1174",11,1000,-173.73223588,62.30883546,"20220304",-2384857.35645813,1912834.99988579
"1263",12,1000,-173.39871039,62.13615455,"20220304",-2411473.67853153,1911222.11307978
"1362",13,1000,-173.10043038,61.95538139,"20220304",-2437718.94307876,1911445.37777676
"1462",14,1000,-172.74200852,62.09614904,"20220304",-2436850.54348647,1886267.69227442
"1562",15,984,-172.37301955,62.21931067,"20220304",-2437718.54562213,1861958.28583285
"1662",16,984,-172.01043703,62.34746359,"20220304",-2437718.35458089,1837648.8452323
"1175",1,1000,-173.05576386,62.26233287,"20220305",-2411473.49214075,1887832.07778017
"263",2,1000,-173.33655426,62.42821497,"20220305",-2387276.81855827,1887831.88592911
"363",3,1000,-172.67357453,62.40051872,"20220305",-2411473.28765688,1862022.41413149
"463",4,1000,-172.9293529,62.57602444,"20220305",-2387276.60372308,1860409.10948969
"563",5,1000,-172.3087748,62.53892242,"20220305",-2410666.53116729,1837019.28420536
"663",6,1000,-172.59435311,62.72215112,"20220305",-2384856.75697129,1836212.53598877
"763",7,1000,-172.8825669,62.86960264,"20220305",-2362273.2266533,1837825.46139676
"863",8,1000,-173.28950402,62.74155685,"20220305",-2360660.30422343,1863635.10199659
"963",9,1000,-173.64949576,62.61006956,"20220305",-2360660.49126403,1887831.6767689
"1063",10,1000,-174.05315813,62.45989067,"20220305",-2360660.70709449,1915254.47383621
"1176",11,1000,-173.73223588,62.30883546,"20220305",-2384857.35645813,1912834.99988579
"1264",12,1000,-173.39871039,62.13615455,"20220305",-2411473.67853153,1911222.11307978
"1363",13,1000,-173.10043038,61.95538139,"20220305",-2437718.94307876,1911445.37777676
"1463",14,1000,-172.74200852,62.09614904,"20220305",-2436850.54348647,1886267.69227442
"1563",15,1000,-172.37301955,62.21931067,"20220305",-2437718.54562213,1861958.28583285
"1663",16,1000,-172.01043703,62.34746359,"20220305",-2437718.35458089,1837648.8452323
"1177",1,1000,-173.05576386,62.26233287,"20220306",-2411473.49214075,1887832.07778017
"264",2,1000,-173.33655426,62.42821497,"20220306",-2387276.81855827,1887831.88592911
"364",3,1000,-172.67357453,62.40051872,"20220306",-2411473.28765688,1862022.41413149
"464",4,1000,-172.9293529,62.57602444,"20220306",-2387276.60372308,1860409.10948969
"564",5,1000,-172.3087748,62.53892242,"20220306",-2410666.53116729,1837019.28420536
"664",6,1000,-172.59435311,62.72215112,"20220306",-2384856.75697129,1836212.53598877
"764",7,1000,-172.8825669,62.86960264,"20220306",-2362273.2266533,1837825.46139676
"864",8,1000,-173.28950402,62.74155685,"20220306",-2360660.30422343,1863635.10199659
"964",9,1000,-173.64949576,62.61006956,"20220306",-2360660.49126403,1887831.6767689
"1064",10,1000,-174.05315813,62.45989067,"20220306",-2360660.70709449,1915254.47383621
"1178",11,1000,-173.73223588,62.30883546,"20220306",-2384857.35645813,1912834.99988579
"1265",12,1000,-173.39871039,62.13615455,"20220306",-2411473.67853153,1911222.11307978
"1364",13,1000,-173.10043038,61.95538139,"20220306",-2437718.94307876,1911445.37777676
"1464",14,1000,-172.74200852,62.09614904,"20220306",-2436850.54348647,1886267.69227442
"1564",15,1000,-172.37301955,62.21931067,"20220306",-2437718.54562213,1861958.28583285
"1664",16,1000,-172.01043703,62.34746359,"20220306",-2437718.35458089,1837648.8452323
"1179",1,1000,-173.05576386,62.26233287,"20220307",-2411473.49214075,1887832.07778017
"265",2,1000,-173.33655426,62.42821497,"20220307",-2387276.81855827,1887831.88592911
"365",3,1000,-172.67357453,62.40051872,"20220307",-2411473.28765688,1862022.41413149
"465",4,1000,-172.9293529,62.57602444,"20220307",-2387276.60372308,1860409.10948969
"565",5,1000,-172.3087748,62.53892242,"20220307",-2410666.53116729,1837019.28420536
"665",6,1000,-172.59435311,62.72215112,"20220307",-2384856.75697129,1836212.53598877
"765",7,1000,-172.8825669,62.86960264,"20220307",-2362273.2266533,1837825.46139676
"865",8,1000,-173.28950402,62.74155685,"20220307",-2360660.30422343,1863635.10199659
"965",9,1000,-173.64949576,62.61006956,"20220307",-2360660.49126403,1887831.6767689
"1065",10,1000,-174.05315813,62.45989067,"20220307",-2360660.70709449,1915254.47383621
"1180",11,1000,-173.73223588,62.30883546,"20220307",-2384857.35645813,1912834.99988579
"1266",12,1000,-173.39871039,62.13615455,"20220307",-2411473.67853153,1911222.11307978
"1365",13,1000,-173.10043038,61.95538139,"20220307",-2437718.94307876,1911445.37777676
"1465",14,1000,-172.74200852,62.09614904,"20220307",-2436850.54348647,1886267.69227442
"1565",15,1000,-172.37301955,62.21931067,"20220307",-2437718.54562213,1861958.28583285
"1665",16,1000,-172.01043703,62.34746359,"20220307",-2437718.35458089,1837648.8452323
"1181",1,1000,-173.05576386,62.26233287,"20220308",-2411473.49214075,1887832.07778017
"266",2,1000,-173.33655426,62.42821497,"20220308",-2387276.81855827,1887831.88592911
"366",3,1000,-172.67357453,62.40051872,"20220308",-2411473.28765688,1862022.41413149
"466",4,1000,-172.9293529,62.57602444,"20220308",-2387276.60372308,1860409.10948969
"566",5,1000,-172.3087748,62.53892242,"20220308",-2410666.53116729,1837019.28420536
"666",6,1000,-172.59435311,62.72215112,"20220308",-2384856.75697129,1836212.53598877
"766",7,1000,-172.8825669,62.86960264,"20220308",-2362273.2266533,1837825.46139676
"866",8,1000,-173.28950402,62.74155685,"20220308",-2360660.30422343,1863635.10199659
"966",9,1000,-173.64949576,62.61006956,"20220308",-2360660.49126403,1887831.6767689
"1066",10,1000,-174.05315813,62.45989067,"20220308",-2360660.70709449,1915254.47383621
"1182",11,1000,-173.73223588,62.30883546,"20220308",-2384857.35645813,1912834.99988579
"1267",12,1000,-173.39871039,62.13615455,"20220308",-2411473.67853153,1911222.11307978
"1366",13,1000,-173.10043038,61.95538139,"20220308",-2437718.94307876,1911445.37777676
"1466",14,1000,-172.74200852,62.09614904,"20220308",-2436850.54348647,1886267.69227442
"1566",15,1000,-172.37301955,62.21931067,"20220308",-2437718.54562213,1861958.28583285
"1666",16,1000,-172.01043703,62.34746359,"20220308",-2437718.35458089,1837648.8452323
"1183",1,1000,-173.05576386,62.26233287,"20220309",-2411473.49214075,1887832.07778017
"267",2,1000,-173.33655426,62.42821497,"20220309",-2387276.81855827,1887831.88592911
"367",3,1000,-172.67357453,62.40051872,"20220309",-2411473.28765688,1862022.41413149
"467",4,1000,-172.9293529,62.57602444,"20220309",-2387276.60372308,1860409.10948969
"567",5,1000,-172.3087748,62.53892242,"20220309",-2410666.53116729,1837019.28420536
"667",6,1000,-172.59435311,62.72215112,"20220309",-2384856.75697129,1836212.53598877
"767",7,1000,-172.8825669,62.86960264,"20220309",-2362273.2266533,1837825.46139676
"867",8,1000,-173.28950402,62.74155685,"20220309",-2360660.30422343,1863635.10199659
"967",9,1000,-173.64949576,62.61006956,"20220309",-2360660.49126403,1887831.6767689
"1067",10,1000,-174.05315813,62.45989067,"20220309",-2360660.70709449,1915254.47383621
"1184",11,1000,-173.73223588,62.30883546,"20220309",-2384857.35645813,1912834.99988579
"1268",12,1000,-173.39871039,62.13615455,"20220309",-2411473.67853153,1911222.11307978
"1367",13,1000,-173.10043038,61.95538139,"20220309",-2437718.94307876,1911445.37777676
"1467",14,932,-172.74200852,62.09614904,"20220309",-2436850.54348647,1886267.69227442
"1567",15,939,-172.37301955,62.21931067,"20220309",-2437718.54562213,1861958.28583285
"1667",16,939,-172.01043703,62.34746359,"20220309",-2437718.35458089,1837648.8452323
"1185",1,1000,-173.05576386,62.26233287,"20220310",-2411473.49214075,1887832.07778017
"268",2,1000,-173.33655426,62.42821497,"20220310",-2387276.81855827,1887831.88592911
"368",3,1000,-172.67357453,62.40051872,"20220310",-2411473.28765688,1862022.41413149
"468",4,1000,-172.9293529,62.57602444,"20220310",-2387276.60372308,1860409.10948969
"568",5,1000,-172.3087748,62.53892242,"20220310",-2410666.53116729,1837019.28420536
"668",6,991,-172.59435311,62.72215112,"20220310",-2384856.75697129,1836212.53598877
"768",7,1000,-172.8825669,62.86960264,"20220310",-2362273.2266533,1837825.46139676
"868",8,1000,-173.28950402,62.74155685,"20220310",-2360660.30422343,1863635.10199659
"968",9,1000,-173.64949576,62.61006956,"20220310",-2360660.49126403,1887831.6767689
"1068",10,1000,-174.05315813,62.45989067,"20220310",-2360660.70709449,1915254.47383621
"1186",11,1000,-173.73223588,62.30883546,"20220310",-2384857.35645813,1912834.99988579
"1269",12,1000,-173.39871039,62.13615455,"20220310",-2411473.67853153,1911222.11307978
"1368",13,1000,-173.10043038,61.95538139,"20220310",-2437718.94307876,1911445.37777676
"1468",14,1000,-172.74200852,62.09614904,"20220310",-2436850.54348647,1886267.69227442
